Country,TotalCases,TotalDeaths,TotalRecovered,CasesPerMillion,DeathsPerMillion,TotalTests,TestsPerMillion,Population
United States of America,111367209,1199031,109053249,332633,3581,1186742917,3544577,334805269
India,45028429,533475,44494954,32012,379,935879495,665334,1406631776
France,40138560,167642,39970918,612013,2556,271490188,4139547,65584518
Germany,38819284,182439,38240600,462776,2175,122332384,1458359,83883596
Brazil,38407327,709765,36249161,178345,3296,63776166,296146,215353593
South Korea,34571873,35934,34535939,673523,700,15804065,307892,51329899
Japan,33803572,74694,N/A,269169,595,100414883,799578,125584838
Italy,26716804,196257,26347863,443338,3257,280238086,4650269,60262770
United Kingdom,24898914,232112,24655170,363499,3389,522526476,7628357,68497907
Russia,23957146,402264,23370779,164308,2759,273400000,1875095,145805947
Turkey,17232066,102174,N/A,201399,1194,162743369,1902052,85561976
Spain,13914811,121760,13762417,297840,2606,471036328,10082298,46719142
Australia,11812730,24228,N/A,453137,929,81916639,3142326,26068792
Vietnam,11624114,43206,10640971,117470,437,85826548,867342,98953541
Taiwan,10241523,19005,10222518,428720,796,30742304,1286903,23888595
Argentina,10094643,130733,9963910,219400,2841,35716069,776264,46010234
Netherlands,8634340,22992,8610383,501663,1336,25984435,1509718,17211447
Mexico,7702809,334958,6899865,58549,2546,20013810,152124,131562772
Iran,7626527,146799,N/A,88657,1707,57320267,666338,86022837
Indonesia,6828605,162033,6647104,24463,580,114158919,408975,279134505
Poland,6659256,120553,N/A,176452,3194,39259301,1040263,37739785
Colombia,6390825,143146,6210192,124063,2779,36951507,717327,51512762
Greece,6101379,37869,N/A,591412,3671,102228365,9909078,10316637
Austria,6081287,22542,6054934,670727,2486,211273524,23302116,9066710
Portugal,5642217,28093,5613586,556400,2770,46139518,4549993,10140570
Ukraine,5557995,112418,5445577,128681,2603,32603805,754855,43192122
Chile,5356303,64497,5252450,278247,3350,50382097,2617225,19250195
Malaysia,5274786,37347,5229308,158970,1126,68580916,2066869,33181072
Canada,4929750,58348,4852719,128418,1520,66572774,1734189,38388419
Belgium,4858488,34376,4820246,416384,2946,37454182,3209915,11668278
Israel,4841772,12707,4798473,519169,1363,41373364,4436346,9326000
DPRK,4772813,74,4772739,183636,3,,,25990679
Thailand,4766751,34564,4692636,68020,493,17273454,246488,70078203
Czechia,4758292,43503,4713257,443177,4052,57780549,5381551,10736784
Peru,4572667,222161,4350506,135751,6595,39010194,1158115,33684208
Switzerland,4451386,14452,4435850,507359,1647,23833472,2716487,8773637
Philippines,4140383,66864,4067381,36800,594,36102746,320888,112508994
South Africa,4076463,102595,3912506,67095,1689,26795090,441027,60756135
Romania,3524982,68860,3452423,185220,3618,28616133,1503632,19031335
Denmark,3183756,8814,3174942,545636,1511,129333107,22165247,5834950
Singapore,3001665,1933,2998448,505029,325,24756666,4165302,5943546
Hong Kong,2928551,14542,2911227,385118,1912,76127725,10011143,7604299
Sweden,2753119,27293,2724761,269413,2671,19500873,1908301,10218971
Serbia,2614044,18057,2595259,302096,2087,13420125,1550919,8653016
New Zealand,2592549,5533,2582426,529286,1130,7768604,1586011,4898203
Iraq,2465545,25375,2439497,58474,602,19544451,463523,42164965
Hungary,2229804,49039,2152155,232120,5105,11394556,1186160,9606259
Bangladesh,2047373,29482,N/A,12195,176,15254399,90862,167885689
Slovakia,1877257,21219,1856038,343808,3886,7448789,1364199,5460193
Georgia,1855289,17132,N/A,467476,4317,16920079,4263340,3968738
Jordan,1746997,14122,1731007,169597,1371,17201885,1669945,10300869
Ireland,1733110,9480,1722398,345227,1888,13083449,2606161,5020199
Pakistan,1581936,30664,1538689,6893,134,30589153,133292,229488994
Finland,1515108,11939,1502620,272749,2149,12108977,2179850,5554960
Norway,1509662,6636,1502842,273918,1204,11002430,1996315,5511370
Kazakhstan,1411831,13848,1383020,73514,721,11575012,602707,19205043
Lithuania,1396037,9895,1384266,524489,3718,10540357,3959997,2661708
Slovenia,1356402,7100,1349175,652733,3417,2847701,1370382,2078034
Bulgaria,1339321,38737,1292587,195676,5660,11623445,1698193,6844597
